ITEM1,ITEM2,ITEM3,ITEM4,ITEM5,ITEM6,ITEM7,ITEM8,ITEM9,ITEM10,ITEM11,ITEM12,ITEM13,ITEM14,ITEM15,ITEM16,ITEM17,ITEM18,ITEM19,ITEM20,ITEM21,ITEM22,ITEM23,ITEM24,ITEM25,ITEM26,ITEM27,ITEM28,ITEM29,ITEM30,ITEM31,ITEM32,ITEM33,ITEM34,ITEM35,ITEM36,ITEM37,ITEM38,ITEM39,ITEM40,ITEM41,ITEM42,ITEM43,ITEM44,ITEM45,ITEM46,ITEM47,ITEM48,ITEM49,ITEM50,ITEM51,ITEM52,ITEM53,ITEM54,ITEM55,ITEM56,ITEM57,ITEM58,ITEM59,ITEM60,ITEM61,ITEM62,ITEM63,ITEM64,ITEM65,ITEM66,ITEM67,ITEM68,ITEM69,ITEM70,ITEM71,ITEM72,FUENTE
1,1,1,1,1,2,3,3,3,3,1,2,0,0,3,3,3,2,4,2,2,1,1,4,2,3,3,3,4,3,1,2,1,2,3,3,2,3,1,2,3,4,3,3,2,2,3,3,0,2,2,3,2,1,1,0,3,4,4,2,2,1,2,3,0,0,0,0,0,0,0,0,INEE
1,1,1,2,0,1,2,1,3,1,2,2,1,1,1,1,1,0,1,1,2,0,2,2,1,3,2,1,1,2,1,2,2,2,1,2,3,2,1,1,1,1,1,1,1,1,2,2,0,0,2,1,3,2,1,1,1,1,1,1,0,0,1,1,3,4,4,4,0,0,0,0,INEE
0,2,1,0,1,2,2,2,4,2,2,2,2,3,1,1,0,1,1,1,1,1,2,2,3,3,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,2,0,0,1,2,0,0,0,0,1,1,0,0,0,0,3,3,3,3,INEE
0,1,0,0,0,0,1,1,4,2,1,2,2,1,0,0,0,0,1,0,0,0,0,0,2,2,2,3,0,3,1,1,0,0,2,3,2,2,0,0,0,1,0,1,0,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,4,4,4,4,0,0,0,0,INEE
0,0,1,1,0,2,2,2,4,2,2,2,2,4,1,2,1,1,2,1,2,1,1,2,1,1,2,1,2,2,1,1,1,1,2,2,1,0,1,1,1,0,0,0,0,0,1,1,0,0,3,1,3,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,4,4,4,4,INEE
0,2,2,1,1,2,1,2,4,2,2,2,0,3,0,0,2,0,0,0,1,0,0,1,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,4,4,4,0,0,0,0,INEE
0,0,0,1,0,3,2,4,4,1,2,4,3,4,2,2,3,1,2,1,2,0,0,1,2,2,1,2,3,1,0,0,1,1,1,2,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,INEE
2,1,1,1,0,1,0,2,4,4,0,0,0,0,0,0,0,1,0,0,1,0,2,4,2,1,1,2,1,1,0,0,0,1,1,0,3,1,0,0,2,1,0,0,0,1,0,0,0,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INEE
2,2,2,3,2,4,3,2,3,2,3,3,3,3,3,2,3,2,2,3,2,0,2,2,2,2,2,2,2,4,2,2,2,2,3,2,2,2,2,2,2,1,1,1,1,2,2,2,0,2,2,2,4,2,0,0,2,1,1,1,0,1,1,0,4,4,4,4,0,0,0,0,INEE
0,1,1,2,0,1,0,1,2,1,1,2,2,0,0,0,0,0,1,0,2,1,1,2,2,2,2,2,2,3,0,0,1,0,1,2,0,1,1,1,0,1,0,1,0,1,1,1,0,0,2,1,1,2,0,0,1,1,0,0,0,0,0,0,4,4,4,4,0,0,0,0,INEE
0,3,1,1,0,3,2,2,4,3,2,3,2,4,1,0,4,4,2,4,2,0,3,4,2,4,2,4,2,4,1,1,1,0,3,4,3,2,2,1,1,1,1,0,1,1,3,3,0,3,4,3,3,2,0,0,2,2,0,4,2,4,4,2,0,3,0,4,0,0,0,0,INEE
0,1,0,1,0,1,0,1,4,4,1,2,0,0,0,0,0,2,1,1,1,1,2,3,2,2,1,2,1,2,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,3,4,4,4,0,0,0,0,INEE
0,1,0,0,0,2,2,1,4,2,2,2,3,4,2,2,2,1,1,1,1,1,2,1,1,2,1,2,2,2,2,2,1,2,0,0,2,2,2,1,2,1,1,1,1,1,1,2,0,0,2,2,0,2,0,0,2,2,1,1,1,1,0,1,3,4,3,4,4,4,0,4,INEE
1,0,0,1,1,1,2,1,3,2,2,2,2,4,2,2,1,1,2,1,2,1,2,2,1,2,1,2,2,2,2,2,2,2,1,1,3,3,3,3,4,1,1,1,1,1,2,3,0,0,2,1,2,1,1,0,1,1,1,2,0,1,0,0,3,4,3,4,3,3,4,4,INEE
0,0,1,0,0,2,4,2,4,3,2,2,2,3,0,0,0,0,1,0,0,0,1,3,1,1,1,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INEE
1,0,0,1,0,1,1,1,4,1,0,2,0,0,0,1,0,1,0,1,2,0,2,2,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,1,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INEE
0,0,0,1,0,2,1,1,2,1,1,1,3,1,1,0,1,1,0,1,2,0,3,3,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INEE
0,0,0,2,0,2,2,3,4,1,2,1,0,3,1,2,1,1,1,2,1,0,3,3,0,1,1,2,1,1,2,1,0,0,1,3,3,1,2,3,3,1,0,1,0,2,4,4,0,2,4,3,3,3,2,1,2,0,0,2,0,1,4,2,0,0,0,0,0,0,0,0,INEE
0,0,0,0,0,2,0,0,4,2,0,2,3,2,0,0,1,0,0,0,0,0,2,1,2,1,1,2,1,2,0,0,0,0,2,3,1,1,1,1,1,1,0,0,0,2,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,2,4,3,3,4,4,4,4,INEE
1,2,4,2,1,2,2,2,3,2,1,2,2,0,2,2,1,0,3,1,3,0,3,4,2,3,2,2,3,4,2,3,3,2,3,3,4,3,3,3,2,2,1,2,2,1,4,3,0,1,4,2,4,2,1,0,3,2,2,2,0,2,0,2,3,4,2,4,0,0,0,0,INEE
0,0,1,2,0,2,2,0,3,2,2,4,0,4,2,2,1,0,3,2,2,0,2,4,1,1,1,1,2,3,1,2,2,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,3,2,3,0,0,1,1,2,1,0,1,1,0,3,4,4,4,0,0,0,0,INEE
0,0,0,0,0,1,1,1,4,1,2,1,2,0,1,1,0,0,0,0,2,0,2,0,2,4,1,3,1,1,1,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,INEE
1,1,1,1,1,2,2,2,2,2,2,3,2,3,1,1,1,1,1,1,1,0,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,2,0,0,0,1,0,0,0,1,0,1,4,4,4,3,3,4,3,3,INEE
0,2,0,0,2,3,3,3,4,4,3,4,4,4,2,2,3,3,2,3,3,2,1,3,2,3,2,2,3,2,2,2,2,2,2,2,1,0,0,1,0,1,0,0,1,2,1,1,0,1,1,2,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,INEE
0,0,0,2,0,2,2,3,4,2,0,4,0,4,2,2,1,1,0,2,0,0,4,4,2,2,2,2,3,4,2,2,2,2,4,4,3,3,2,2,2,2,2,2,2,2,3,3,0,1,4,3,2,3,0,0,3,0,0,2,0,1,1,2,2,4,4,4,0,0,0,0,INEE
1,1,1,2,0,2,1,2,3,1,1,3,2,0,1,1,0,0,1,1,2,0,2,2,0,1,2,2,2,1,0,0,0,0,1,1,1,0,0,0,0,2,1,2,1,1,2,2,0,0,2,1,1,3,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,INEE
1,2,2,2,1,2,2,3,3,4,2,3,3,2,1,1,2,2,4,2,3,1,2,3,1,3,2,2,2,1,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,2,1,1,1,0,0,1,0,2,0,1,1,0,2,3,4,4,0,0,0,0,INEE
0,1,2,2,0,1,2,3,3,2,2,2,0,4,1,1,1,1,1,1,2,2,1,2,2,3,3,3,2,2,0,0,1,1,0,0,2,0,1,1,1,1,0,2,0,1,2,2,0,0,3,2,2,2,1,0,1,0,1,1,2,2,1,0,0,0,0,0,4,4,4,4,INEE
0,0,0,0,0,1,1,2,2,2,1,2,1,0,0,0,0,0,0,0,1,1,2,3,2,2,2,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INEE
0,1,2,3,0,1,2,2,3,3,1,2,2,1,1,1,1,1,1,1,2,0,2,2,2,1,1,2,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,2,0,1,2,2,1,2,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,INEE
0,2,0,0,0,2,1,1,1,2,0,2,4,0,0,0,1,1,1,1,0,0,2,2,2,3,0,3,1,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,1,1,1,1,0,2,0,0,2,1,0,0,0,1,0,0,0,0,0,0,2,4,4,4,0,0,0,0,INEE
1,2,1,1,1,2,2,2,2,2,1,3,2,1,2,1,2,0,1,0,1,1,1,3,1,2,2,1,1,2,1,1,1,1,0,2,1,0,1,1,0,1,0,1,0,1,1,0,0,0,1,2,1,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,INEE
0,1,4,1,1,1,2,1,4,2,2,2,3,2,1,0,0,0,2,1,1,1,1,4,2,2,2,2,1,3,1,1,0,1,3,3,2,1,1,1,0,2,2,1,1,2,2,1,0,0,2,2,1,2,0,0,1,1,0,1,0,0,1,0,4,3,4,4,0,0,0,0,INEE
2,4,3,2,3,2,4,2,4,0,3,4,2,4,1,0,0,1,0,0,0,1,2,3,1,2,2,1,2,2,2,2,2,4,2,2,2,2,2,2,2,0,1,1,1,1,2,2,0,1,1,2,1,0,2,1,1,3,1,2,1,2,2,0,0,0,0,0,3,4,3,4,INEE
0,1,1,2,0,2,2,2,2,2,1,2,3,2,0,0,1,0,1,0,2,1,2,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,2,2,2,1,0,0,1,0,0,0,0,0,0,4,4,4,4,0,0,0,0,INEE
1,1,2,0,0,1,1,1,2,1,0,2,2,0,0,2,0,0,3,0,2,0,3,2,1,1,1,2,2,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INEE
0,1,1,0,0,3,1,3,3,3,2,2,1,4,0,1,3,1,2,2,2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,3,4,4,4,3,3,3,3,INEE
1,1,0,2,0,3,3,2,4,3,2,4,0,2,1,2,4,2,3,2,1,0,2,4,3,3,1,2,2,3,2,2,1,1,3,4,2,1,1,2,2,0,0,1,1,1,3,3,0,2,4,3,4,2,0,0,1,0,0,2,0,1,1,0,3,4,3,4,0,0,0,0,INEE
3,2,2,2,1,2,2,4,4,3,3,3,2,4,3,2,2,2,1,2,0,0,3,4,0,2,1,2,2,3,3,2,2,2,3,3,4,4,3,4,4,1,1,3,2,2,3,4,0,3,2,0,4,1,3,0,2,2,0,3,2,2,3,0,3,3,4,4,0,0,0,0,INEE
1,2,2,2,1,3,4,2,4,3,3,4,2,2,2,2,3,2,3,2,2,1,0,3,3,1,2,2,3,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,3,2,2,0,2,3,3,3,2,2,0,2,2,2,2,1,2,0,0,0,0,0,0,2,2,1,2,INEE
1,1,3,1,0,2,2,2,4,4,3,4,4,3,2,2,1,2,1,1,2,1,2,2,2,3,3,3,2,2,0,2,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,0,0,0,INEE
0,0,0,0,0,0,2,2,4,2,2,2,0,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INEE
0,4,2,2,4,4,4,4,4,4,4,4,3,4,4,4,4,3,3,3,0,0,2,4,2,4,3,2,3,2,2,2,3,3,3,4,1,1,1,1,1,0,0,1,0,0,2,4,0,4,4,4,3,0,2,0,2,3,1,2,0,1,2,2,0,1,1,3,0,0,0,0,INEE
0,0,0,0,0,1,2,1,3,1,1,1,2,0,0,2,0,0,0,0,0,0,2,3,2,2,2,2,1,2,0,0,0,0,2,3,3,2,1,1,1,1,0,0,0,2,1,1,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,INEE
1,0,1,1,1,2,4,4,3,1,2,2,2,4,1,2,1,1,4,1,3,3,2,3,3,3,2,1,2,1,0,0,0,0,2,3,3,1,0,0,0,1,0,0,0,0,2,1,0,3,4,2,1,2,0,0,1,1,1,2,0,1,2,0,0,0,0,0,4,4,4,4,INEE
1,0,0,0,0,1,2,1,4,2,1,3,1,0,1,2,0,0,0,0,2,1,0,4,0,2,1,0,2,2,2,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,2,0,0,1,1,4,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INEE
1,2,1,1,1,2,3,3,4,3,3,2,4,4,2,1,2,1,2,1,2,1,2,3,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,1,2,1,1,2,1,1,2,2,0,1,3,3,2,1,1,0,1,1,0,2,1,2,1,0,2,3,2,4,2,4,1,3,INEE
0,1,0,1,0,1,2,1,2,2,2,2,2,0,0,0,2,1,0,1,0,0,0,0,2,1,2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,3,1,4,0,0,0,0,INEE
0,1,1,0,0,1,1,1,3,2,1,2,2,0,1,0,0,0,1,0,2,1,3,3,2,2,3,4,3,3,0,0,0,2,4,4,2,1,1,1,0,2,0,2,1,1,1,2,0,1,3,3,2,2,0,0,2,0,0,0,1,1,1,0,4,4,3,4,0,0,0,0,INEE
1,0,1,2,0,1,2,2,2,2,2,2,2,1,2,2,1,1,1,1,2,1,3,4,1,1,1,1,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,0,1,3,3,2,2,2,1,2,1,2,3,2,2,3,0,0,0,0,0,0,0,0,0,INEE
0,2,0,1,0,2,2,0,2,0,1,2,0,0,0,0,2,1,0,0,1,0,2,4,2,2,2,4,0,2,0,2,1,0,4,4,2,1,1,1,1,0,1,0,1,1,1,0,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,3,4,4,4,0,0,0,0,INEE
1,1,1,1,0,1,1,2,3,1,1,1,2,1,0,1,1,1,1,0,2,1,2,2,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,0,0,1,0,1,0,0,1,1,0,0,3,2,1,2,2,1,1,1,0,2,0,1,1,1,0,0,0,0,0,0,0,0,INEE
0,1,1,2,0,2,1,2,3,2,2,1,3,2,1,2,1,1,1,1,2,1,1,2,1,2,2,2,2,3,1,2,1,1,2,1,1,1,1,1,0,1,1,1,1,2,3,3,0,1,2,2,2,2,0,0,1,1,1,2,1,2,1,1,0,0,0,0,0,0,0,0,INEE
0,1,1,2,0,2,4,4,4,4,2,3,3,4,1,1,1,1,1,0,2,2,1,0,3,2,3,4,3,2,1,1,1,1,2,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,2,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,4,3,INEE
4,4,2,3,2,2,2,2,4,2,2,4,4,4,4,2,4,2,4,2,2,2,0,4,3,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,0,4,4,3,0,1,3,0,4,2,2,0,3,2,2,2,2,4,2,4,0,0,0,0,INEE
0,0,1,1,0,1,2,2,3,2,1,2,1,0,0,0,0,0,0,0,2,1,2,2,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,2,1,2,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,INEE
1,2,2,1,1,2,2,2,4,3,3,3,4,4,2,2,3,1,2,2,2,2,2,2,1,3,2,2,3,3,1,1,1,1,2,2,0,0,1,1,1,0,0,0,0,0,1,1,0,0,2,1,1,2,0,0,1,2,1,2,1,2,1,2,2,2,2,4,3,3,3,3,INEE
0,1,1,1,0,1,1,2,2,2,0,1,4,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,1,1,1,1,1,2,1,0,0,2,2,1,2,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,0,0,0,INEE
0,2,1,3,1,4,4,4,3,3,3,4,4,4,2,3,4,2,4,3,3,0,1,4,3,0,3,2,4,3,3,2,2,2,4,4,2,1,1,1,1,0,1,1,2,1,1,1,0,1,2,4,4,0,1,0,2,2,0,1,0,0,2,1,1,3,2,4,0,0,0,0,INEE
0,2,0,0,0,2,2,2,4,3,4,4,4,4,0,0,2,0,0,0,2,0,1,4,2,0,0,0,0,2,0,0,0,0,0,3,2,2,0,0,0,2,2,1,1,2,2,2,0,2,2,0,2,2,0,0,1,2,0,0,0,0,4,0,4,4,4,4,0,0,0,0,INEE
0,1,0,0,0,2,0,0,3,2,2,1,1,2,0,0,0,0,0,0,0,0,2,4,2,1,3,4,2,3,2,4,2,2,2,1,2,1,2,2,2,0,1,0,0,0,1,1,0,1,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INEE
0,2,1,1,1,2,2,2,3,2,1,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4,0,0,0,0,INEE
0,2,1,2,2,4,3,3,4,4,3,4,4,3,2,2,4,2,2,3,2,2,1,2,2,3,2,2,3,2,2,2,1,2,3,3,3,2,2,3,3,2,2,2,2,2,2,2,0,1,1,2,1,2,2,0,2,2,1,1,1,1,2,2,2,3,3,3,0,0,0,0,INEE
0,2,2,1,0,3,2,3,4,2,2,2,2,1,0,0,3,2,2,1,0,1,2,2,2,4,3,2,1,2,0,0,0,0,4,2,1,2,0,0,0,2,3,2,1,3,2,1,0,0,2,2,2,2,1,0,1,2,1,0,0,1,0,0,1,2,3,4,0,0,0,0,INEE
0,0,0,2,1,2,2,2,4,4,2,2,3,4,3,0,2,2,1,2,2,2,2,4,2,2,0,2,2,2,0,0,0,0,4,4,4,0,0,0,0,2,2,0,2,2,0,0,0,0,4,2,2,4,0,0,0,2,2,0,2,0,0,0,2,4,4,2,0,0,0,0,INEE
0,1,0,0,0,1,2,2,3,2,1,2,2,0,1,1,2,1,1,1,1,0,0,3,2,1,1,1,2,1,1,1,0,1,1,1,2,2,2,1,3,0,0,0,0,0,1,1,0,1,2,3,2,2,0,0,0,3,0,0,0,1,1,0,4,4,4,4,0,0,0,0,INEE
0,0,0,1,0,0,0,2,2,1,1,1,1,0,0,0,0,0,0,0,1,0,3,2,2,2,2,2,0,4,0,1,1,2,2,4,2,2,1,1,1,0,0,2,1,1,2,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INEE
0,0,0,1,0,3,3,3,4,1,0,2,1,0,0,0,2,0,1,0,1,0,2,4,2,4,3,4,2,2,0,0,0,0,0,0,4,3,0,1,1,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,1,1,0,0,0,0,0,0,4,4,4,4,0,0,0,0,INEE
1,1,1,1,1,3,1,2,3,1,2,2,1,4,0,1,3,1,2,1,0,0,2,3,2,3,3,2,2,2,0,1,0,0,2,3,2,1,1,1,0,1,1,1,0,2,1,1,0,0,1,1,2,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,4,4,4,4,INEE
0,1,0,2,0,3,3,4,4,3,2,2,3,4,1,1,3,1,0,0,1,0,1,3,1,3,3,2,2,2,1,1,1,1,3,3,3,1,1,1,1,1,1,1,0,1,3,2,0,1,4,2,0,2,0,0,2,2,1,1,1,2,1,0,0,0,0,0,0,0,0,0,INEE
0,0,0,0,0,0,0,0,4,1,3,0,2,4,1,2,0,0,0,0,0,0,2,1,0,1,2,2,1,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,INEE
0,1,1,1,0,2,2,3,3,3,2,4,2,2,2,3,3,2,2,2,2,1,2,2,2,3,4,3,3,1,2,1,2,0,2,2,2,1,2,1,1,1,1,0,1,0,2,3,0,1,3,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,INEE
0,1,1,2,1,4,4,4,4,4,2,4,3,1,2,2,3,2,3,2,1,1,0,4,2,3,3,3,2,1,1,2,1,1,2,2,1,1,2,1,1,0,0,0,0,0,3,4,0,2,4,4,4,2,0,0,1,2,0,0,0,2,2,2,0,0,0,0,0,0,0,0,INEE
2,1,1,4,2,2,2,2,3,3,2,2,0,4,2,2,2,2,4,2,2,0,1,2,0,3,1,4,2,2,2,2,2,2,2,3,2,2,2,2,3,2,3,2,2,2,2,3,0,0,4,2,2,3,2,0,1,1,1,0,2,2,2,0,0,0,0,0,3,4,2,4,INEE
0,0,1,0,0,3,2,3,3,1,2,3,3,4,2,2,3,1,1,2,1,0,1,2,1,2,1,1,2,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,2,1,2,0,0,1,2,1,1,1,1,0,0,0,0,0,0,3,3,4,4,INEE
0,0,0,0,0,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INEE
1,1,1,1,0,3,3,2,4,3,2,3,0,2,2,2,4,2,3,2,1,1,2,4,3,3,2,2,2,3,2,1,1,3,3,4,2,1,2,1,2,0,0,1,1,1,4,3,0,3,4,3,4,3,1,0,1,0,0,3,0,2,0,0,2,3,2,4,0,0,0,0,INEE
0,1,0,0,0,2,1,1,3,2,2,2,1,2,0,2,1,1,1,1,2,1,2,2,1,1,1,1,2,3,0,0,0,0,2,2,2,0,1,1,1,0,1,1,1,1,2,2,0,0,1,1,4,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,INEE
0,2,2,1,1,2,3,3,4,3,2,3,2,3,2,1,2,2,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,3,3,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,4,4,3,INEE
0,0,2,1,0,2,2,2,3,2,2,2,3,4,1,1,1,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,3,4,4,4,4,4,4,4,INEE
0,0,0,0,0,1,0,0,2,1,0,1,2,0,0,0,0,0,0,0,1,0,2,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INEE
2,0,0,2,0,2,2,3,3,3,1,3,1,3,2,2,2,1,2,1,1,0,2,3,1,3,3,3,3,2,2,0,0,1,1,0,2,2,1,0,1,0,0,2,0,0,3,3,0,0,2,3,0,2,0,1,2,3,0,2,0,1,0,1,0,0,0,0,0,0,0,0,INEE
0,3,1,1,1,2,2,2,4,3,3,3,4,3,1,2,2,2,1,2,1,0,1,2,2,4,2,2,1,2,2,3,2,2,2,3,2,2,2,2,1,1,1,1,1,1,1,2,0,1,4,3,2,1,0,0,2,2,0,0,0,3,0,1,0,0,0,0,0,0,0,0,INEE
1,1,1,0,0,2,4,3,4,3,2,3,2,1,2,2,2,0,1,0,1,0,2,3,2,2,2,2,1,4,1,0,0,0,4,4,1,4,0,1,0,1,1,1,0,0,2,2,0,1,3,2,0,1,0,0,2,1,1,0,2,0,0,0,4,4,4,4,0,0,0,0,INEE
0,1,1,0,0,4,4,3,4,3,4,4,3,0,0,0,4,4,2,4,1,2,3,3,0,3,3,0,2,1,0,0,0,1,0,4,4,4,4,4,4,2,2,2,2,2,2,2,0,0,4,2,2,1,1,0,2,2,2,2,2,0,0,0,0,0,0,0,4,4,0,4,INEE
3,0,4,3,0,2,2,2,4,4,2,4,2,4,1,1,2,0,1,2,1,1,2,3,2,1,1,1,2,3,2,2,2,2,2,2,4,1,0,0,0,0,0,0,0,0,2,2,0,1,2,2,2,2,1,0,2,1,2,2,2,1,2,1,2,4,2,4,3,4,4,4,INEE
